scenario,threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session
without_page_values,0.05,382,1889,0,195,0.23398215733982158,0.5467850287907869,0.1682078379568472,1.0,0.28797587636637767,0.9209245742092458,2271,3862.0,1.5660989456609895
without_page_values,0.06,381,1863,1,221,0.2441200324412003,0.5517141321059984,0.1697860962566845,0.9973821989528796,0.2901751713632902,0.9099756690997567,2244,3894.0,1.5790754257907542
without_page_values,0.07,381,1829,1,255,0.25790754257907544,0.559871521741315,0.17239819004524887,0.9973821989528796,0.2939814814814815,0.8961881589618816,2210,3962.0,1.6066504460665045
without_page_values,0.08,380,1800,2,284,0.26926196269261965,0.5655203947302309,0.1743119266055046,0.9947643979057592,0.2966432474629196,0.884022708840227,2180,4000.0,1.6220600162206003
without_page_values,0.09,380,1774,2,310,0.2798053527980535,0.5717583985690025,0.1764159702878366,0.9947643979057592,0.2996845425867508,0.8734793187347932,2154,4052.0,1.6431467964314679
without_page_values,0.1,379,1746,3,338,0.29075425790754256,0.57716734833335,0.17835294117647058,0.9921465968586387,0.30235341045073794,0.8617193836171938,2125,4088.0,1.6577453365774533
without_page_values,0.11,378,1722,4,362,0.30008110300081103,0.5816166051994252,0.18,0.9895287958115183,0.30459307010475417,0.851581508515815,2100,4116.0,1.6690997566909975
without_page_values,0.12,378,1702,4,382,0.308191403081914,0.5864150696907879,0.18173076923076922,0.9895287958115183,0.30706742485783917,0.8434712084347121,2080,4156.0,1.6853203568532036
without_page_values,0.13,377,1679,5,405,0.3171127331711273,0.5906244033322949,0.1833657587548638,0.9869109947643979,0.30926989335520916,0.8337388483373885,2056,4182.0,1.6958637469586375
without_page_values,0.14,377,1658,5,426,0.32562854825628545,0.5956627910482258,0.18525798525798526,0.9869109947643979,0.3119569714522135,0.8252230332522303,2035,4224.0,1.7128953771289537
without_page_values,0.15,377,1639,5,445,0.3333333333333333,0.6002213323150205,0.18700396825396826,0.9869109947643979,0.31442869057547956,0.8175182481751825,2016,4262.0,1.7283049472830494
without_page_values,0.16,377,1611,5,473,0.3446877534468775,0.6069391826029283,0.18963782696177062,0.9869109947643979,0.31814345991561177,0.8061638280616383,1988,4318.0,1.751013787510138
without_page_values,0.17,375,1592,7,492,0.3515815085158151,0.6088799228226025,0.19064565327910524,0.981675392670157,0.31928480204342274,0.7976480129764801,1967,4316.0,1.7502027575020276
without_page_values,0.18,375,1572,7,512,0.3596918085969181,0.6136783873139653,0.1926040061633282,0.981675392670157,0.3220266208673251,0.7895377128953771,1947,4356.0,1.7664233576642336
without_page_values,0.19,374,1544,8,540,0.3706407137064071,0.619087337078313,0.19499478623566216,0.9790575916230366,0.32521739130434785,0.7777777777777778,1918,4392.0,1.781021897810219
without_page_values,0.2,373,1526,9,558,0.3775344687753447,0.6220970545969793,0.196419167983149,0.9764397905759162,0.32704953967558087,0.7700729927007299,1899,4408.0,1.7875101378751013
without_page_values,0.21,372,1513,10,571,0.3824006488240065,0.6239071559928049,0.1973474801061008,0.9738219895287958,0.3281870313189237,0.7643957826439578,1885,4414.0,1.7899432278994323
without_page_values,0.22,370,1490,12,594,0.3909164639091646,0.6268075891107515,0.1989247311827957,0.9685863874345549,0.33006244424620873,0.754257907542579,1860,4420.0,1.7923763179237633
without_page_values,0.23,369,1471,13,613,0.3982157339821573,0.6300572298539859,0.20054347826086957,0.9659685863874345,0.33213321332133217,0.7461476074614761,1840,4438.0,1.7996755879967559
without_page_values,0.24,369,1449,13,635,0.4071370640713706,0.6353355407944851,0.20297029702970298,0.9659685863874345,0.3354545454545455,0.7372262773722628,1818,4482.0,1.8175182481751824
without_page_values,0.25,368,1428,14,656,0.41524736415247365,0.6390650279868557,0.20489977728285078,0.9633507853403142,0.3379247015610652,0.7283049472830495,1796,4504.0,1.8264395782643958
without_page_values,0.26,368,1409,14,675,0.4229521492295215,0.6436235692536504,0.20709060213843555,0.9633507853403142,0.3408985641500694,0.7206001622060016,1777,4542.0,1.8418491484184916
without_page_values,0.27,365,1382,17,702,0.4326845093268451,0.6461747947463095,0.20892959358900973,0.9554973821989529,0.3428839830906529,0.7084347120843472,1747,4536.0,1.8394160583941606
without_page_values,0.28,360,1349,22,735,0.4440389294403893,0.647547758539257,0.2106495026331188,0.9424083769633508,0.3443328550932568,0.6930251419302514,1709,4502.0,1.8256285482562855
without_page_values,0.29,357,1322,25,762,0.4537712895377129,0.650098984031916,0.21262656343061345,0.9345549738219895,0.34643377001455605,0.680859691808597,1679,4496.0,1.8231954582319545
without_page_values,0.3,356,1281,26,803,0.4699918896999189,0.6586269357156496,0.21747098350641417,0.9319371727748691,0.35264982664685485,0.6638280616382806,1637,4558.0,1.8483373884833738
without_page_values,0.31,353,1243,29,841,0.48418491484184917,0.6638173166785581,0.2211779448621554,0.9240837696335078,0.3569261880687563,0.6472019464720195,1596,4574.0,1.8548256285482563
without_page_values,0.32,351,1210,31,874,0.4967558799675588,0.6691169820421863,0.22485586162716206,0.918848167539267,0.3612969634585692,0.6330089213300892,1561,4600.0,1.8653690186536902
without_page_values,0.33,350,1181,32,903,0.508110300081103,0.6747658550311021,0.2286087524493795,0.9162303664921466,0.36591740721380034,0.6208434712084347,1531,4638.0,1.880778588807786
without_page_values,0.34,347,1152,35,932,0.518653690186537,0.6777969269728974,0.2314876584389593,0.9083769633507853,0.3689526847421585,0.6078669910786699,1499,4636.0,1.8799675587996756
without_page_values,0.35,339,1127,43,957,0.5255474452554745,0.6733238033986192,0.23124147339699863,0.887434554973822,0.36688311688311687,0.5944849959448499,1466,4526.0,1.835360908353609
without_page_values,0.36,335,1100,47,984,0.5348742903487429,0.6745661283677181,0.23344947735191637,0.8769633507853403,0.3687396807925151,0.5819140308191403,1435,4500.0,1.8248175182481752
without_page_values,0.37,332,1070,50,1014,0.545823195458232,0.6778371235340817,0.23680456490727533,0.8691099476439791,0.3721973094170404,0.5685320356853204,1402,4500.0,1.8248175182481752
without_page_values,0.38,327,1047,55,1037,0.5531224655312247,0.6768108550813479,0.23799126637554585,0.856020942408377,0.37243735763097957,0.5571776155717761,1374,4446.0,1.802919708029197
without_page_values,0.39,322,1028,60,1056,0.5587996755879967,0.6748248937303414,0.23851851851851852,0.8429319371727748,0.371824480369515,0.5474452554744526,1350,4384.0,1.7777777777777777
without_page_values,0.4,316,997,66,1087,0.5689375506893755,0.6744091105505924,0.24067022086824066,0.8272251308900523,0.3728613569321534,0.532441200324412,1313,4326.0,1.754257907542579
without_page_values,0.41,314,960,68,1124,0.5831305758313058,0.6806684688124931,0.24646781789638933,0.8219895287958116,0.37922705314009664,0.5166261151662611,1274,4360.0,1.768045417680454
without_page_values,0.42,308,926,74,1158,0.5944849959448499,0.6809724553064485,0.24959481361426256,0.806282722513089,0.3811881188118812,0.5004055150040552,1234,4308.0,1.7469586374695865
without_page_values,0.43,304,894,78,1190,0.6058394160583942,0.6834143963983881,0.25375626043405675,0.7958115183246073,0.3848101265822785,0.48580697485806973,1198,4292.0,1.740470397404704
without_page_values,0.44,296,862,86,1222,0.6155717761557178,0.6806207353960869,0.2556131260794473,0.774869109947644,0.3844155844155844,0.46958637469586373,1158,4196.0,1.7015409570154096
without_page_values,0.45,291,818,91,1266,0.6313868613138686,0.6846328546592839,0.2623985572587917,0.7617801047120419,0.39034205231388325,0.4497161394971614,1109,4184.0,1.6966747769667478
without_page_values,0.46,285,794,97,1290,0.6386861313868614,0.6825376089075579,0.26413345690454126,0.7460732984293194,0.3901437371663245,0.4375506893755069,1079,4112.0,1.667477696674777
without_page_values,0.47,279,768,103,1316,0.6467964314679643,0.6809222096049683,0.2664756446991404,0.7303664921465969,0.390482855143457,0.4245742092457421,1047,4044.0,1.6399026763990268
without_page_values,0.48,273,732,109,1352,0.6589618815896188,0.68170604254806,0.2716417910447761,0.7146596858638743,0.3936553713049747,0.4075425790754258,1005,3996.0,1.6204379562043796
without_page_values,0.49,263,687,119,1397,0.6731549067315491,0.6794135824180241,0.2768421052631579,0.6884816753926701,0.3948948948948949,0.38523925385239255,950,3886.0,1.575831305758313
without_page_values,0.5,257,649,125,1435,0.6861313868613139,0.6806772618102521,0.2836644591611479,0.6727748691099477,0.39906832298136646,0.36739659367396593,906,3842.0,1.5579886455798864
without_page_values,0.51,245,605,137,1479,0.6991078669910786,0.6755270774085277,0.28823529411764703,0.6413612565445026,0.3977272727272727,0.3446877534468775,850,3690.0,1.4963503649635037
without_page_values,0.52,234,574,148,1510,0.7072181670721817,0.6685667916109777,0.2896039603960396,0.612565445026178,0.3932773109243698,0.32765612327656124,808,3532.0,1.43227899432279
without_page_values,0.53,223,530,159,1554,0.7206001622060016,0.6647255077328135,0.2961487383798141,0.5837696335078534,0.39295154185022024,0.305352798053528,753,3400.0,1.37875101378751
without_page_values,0.54,216,498,166,1586,0.7307380373073804,0.6632407472540724,0.3025210084033613,0.5654450261780105,0.39416058394160586,0.2895377128953771,714,3324.0,1.3479318734793186
without_page_values,0.55,207,461,175,1623,0.7420924574209246,0.6603378018510517,0.30988023952095806,0.5418848167539267,0.39428571428571424,0.2708840227088402,668,3218.0,1.3049472830494728
without_page_values,0.56,193,413,189,1671,0.7558799675587997,0.6535295093004794,0.3184818481848185,0.5052356020942408,0.3906882591093117,0.24574209245742093,606,3034.0,1.2303325223033252
without_page_values,0.57,189,381,193,1703,0.7672343876723439,0.6559714503924189,0.33157894736842103,0.49476439790575916,0.3970588235294118,0.23114355231143552,570,3018.0,1.2238442822384428
without_page_values,0.58,181,340,201,1744,0.7806163828061639,0.6553370984112309,0.3474088291746641,0.4738219895287958,0.4008859357696567,0.21127331711273317,521,2940.0,1.1922141119221412
without_page_values,0.59,167,307,215,1777,0.7883211678832117,0.6449299574921366,0.35232067510548526,0.43717277486910994,0.39018691588785054,0.1922141119221411,474,2726.0,1.105433901054339
without_page_values,0.6,157,283,225,1801,0.7939983779399837,0.6375991096461697,0.3568181818181818,0.4109947643979058,0.3819951338199513,0.17842660178426603,440,2574.0,1.0437956204379562
