scenario,threshold,true_positive,false_positive,false_negative,true_negative,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate,predicted_positive_count,expected_business_value,expected_business_value_per_session
with_page_values,0.05,381,1613,1,471,0.34549878345498786,0.6116949382480329,0.19107321965897692,0.9973821989528796,0.32070707070707066,0.8085969180859692,1994,4394.0,1.7818329278183294
with_page_values,0.06,380,1534,2,550,0.3771289537712895,0.6293399724653557,0.19853709508881923,0.9947643979057592,0.3310104529616725,0.7761557177615572,1914,4532.0,1.8377939983779399
with_page_values,0.07,379,1456,3,628,0.4083536090835361,0.6467450834581101,0.20653950953678474,0.9921465968586387,0.3419034731619305,0.7441200324412003,1835,4668.0,1.8929440389294403
with_page_values,0.08,379,1369,3,715,0.44363341443633414,0.6676184039955382,0.21681922196796338,0.9921465968586387,0.355868544600939,0.7088402270884022,1748,4842.0,1.9635036496350364
with_page_values,0.09,378,1298,4,786,0.4720194647201946,0.6833440524163158,0.22553699284009546,0.9895287958115183,0.36734693877551017,0.6796431467964315,1676,4964.0,2.012976480129765
with_page_values,0.1,378,1223,4,861,0.5024330900243309,0.7013382942589261,0.23610243597751404,0.9895287958115183,0.3812405446293494,0.6492295214922952,1601,5114.0,2.0738037307380375
with_page_values,0.11,378,1137,4,947,0.5373073803730738,0.721971691571786,0.2495049504950495,0.9895287958115183,0.39852398523985244,0.6143552311435523,1515,5286.0,2.1435523114355233
with_page_values,0.12,375,1076,7,1008,0.5608272506082725,0.7326803066997618,0.2584424534803584,0.981675392670157,0.4091653027823241,0.5884022708840227,1451,5348.0,2.1686942416869424
with_page_values,0.13,375,1000,7,1084,0.5916463909164639,0.7509144717669403,0.2727272727272727,0.981675392670157,0.4268639726807057,0.5575831305758313,1375,5500.0,2.2303325223033252
with_page_values,0.14,373,943,9,1141,0.6139497161394971,0.7619722945202039,0.28343465045592703,0.9764397905759162,0.43934040047114253,0.5336577453365775,1316,5574.0,2.2603406326034063
with_page_values,0.15,368,884,14,1200,0.6358475263584753,0.769583262151923,0.2939297124600639,0.9633507853403142,0.45042839657282746,0.5077047850770479,1252,5592.0,2.267639902676399
with_page_values,0.16,367,837,15,1247,0.6545012165450121,0.7795507531830652,0.30481727574750833,0.9607329842931938,0.4627994955863809,0.4882400648824006,1204,5666.0,2.29764801297648
with_page_values,0.17,367,789,15,1295,0.6739659367396593,0.7910670679623358,0.31747404844290655,0.9607329842931938,0.47724317295188556,0.46877534468775345,1156,5762.0,2.3365774533657744
with_page_values,0.18,364,744,18,1340,0.6909975669099757,0.7979369114972215,0.3285198555956679,0.9528795811518325,0.4885906040268456,0.44931062449310627,1108,5792.0,2.348742903487429
with_page_values,0.19,362,701,20,1383,0.7076236820762368,0.805635809106531,0.3405456255879586,0.9476439790575916,0.501038062283737,0.4310624493106245,1063,5838.0,2.367396593673966
with_page_values,0.2,358,660,24,1424,0.7226277372262774,0.8102370592195838,0.3516699410609037,0.93717277486911,0.5114285714285713,0.41281427412814276,1018,5840.0,2.368207623682076
with_page_values,0.21,357,627,25,1457,0.7356042173560422,0.8168456251067722,0.3628048780487805,0.9345549738219895,0.5226939970717422,0.39902676399026765,984,5886.0,2.386861313868613
with_page_values,0.22,355,594,27,1490,0.7481751824817519,0.8221452904704003,0.37407797681770283,0.9293193717277487,0.5334335086401202,0.3848337388483374,949,5912.0,2.397404703974047
with_page_values,0.23,350,558,32,1526,0.7607461476074615,0.8242380239370521,0.3854625550660793,0.9162303664921466,0.5426356589147288,0.3682076236820762,908,5884.0,2.3860502838605027
with_page_values,0.24,349,525,33,1559,0.7737226277372263,0.8308465898242405,0.39931350114416475,0.9136125654450262,0.5557324840764332,0.3544201135442011,874,5930.0,2.40470397404704
with_page_values,0.25,347,496,35,1588,0.7846715328467153,0.8351865622895962,0.41162514827995256,0.9083769633507853,0.566530612244898,0.3418491484184915,843,5948.0,2.4120032441200325
with_page_values,0.26,345,471,37,1613,0.7939983779399837,0.8385668418566792,0.4227941176470588,0.9031413612565445,0.5759599332220368,0.3309002433090024,816,5958.0,2.4160583941605838
with_page_values,0.27,344,462,38,1622,0.797242497972425,0.8394172503542321,0.4267990074441687,0.900523560209424,0.5791245791245792,0.32684509326845096,806,5956.0,2.4152473641524734
with_page_values,0.28,343,438,39,1646,0.8065693430656934,0.8438665072203073,0.43918053777208704,0.8979057591623036,0.589853826311264,0.3167072181670722,781,5984.0,2.4266017842660177
with_page_values,0.29,343,422,39,1662,0.8130575831305759,0.8477052788133975,0.44836601307189544,0.8979057591623036,0.5980819529206627,0.3102189781021898,765,6016.0,2.4395782643957826
with_page_values,0.3,341,410,41,1674,0.8171127331711273,0.8479665564610948,0.4540612516644474,0.8926701570680629,0.6019417475728156,0.30454176804541766,751,6000.0,2.4330900243309004
with_page_values,0.31,337,390,45,1694,0.8236009732360098,0.8475294188582168,0.46354883081155435,0.8821989528795812,0.6077547339945898,0.29480940794809407,727,5960.0,2.416869424168694
with_page_values,0.32,336,371,46,1713,0.8309002433090025,0.8507790596014511,0.4752475247524752,0.8795811518324608,0.6170798898071626,0.2866991078669911,707,5978.0,2.424168694241687
with_page_values,0.33,335,359,47,1725,0.8353609083536091,0.8523492377727085,0.4827089337175792,0.8769633507853403,0.6226765799256505,0.28142741281427414,694,5982.0,2.4257907542579074
with_page_values,0.34,334,346,48,1738,0.8402270884022709,0.8541593391685341,0.49117647058823527,0.8743455497382199,0.6290018832391714,0.275750202757502,680,5988.0,2.4282238442822384
with_page_values,0.35,332,332,50,1752,0.8450932684509327,0.8549004632653676,0.5,0.8691099476439791,0.6347992351816443,0.26926196269261965,664,5976.0,2.423357664233577
with_page_values,0.36,329,320,53,1764,0.8487429034874291,0.8538528403895047,0.5069337442218799,0.8612565445026178,0.6382153249272551,0.26317923763179235,649,5940.0,2.408759124087591
with_page_values,0.37,329,312,53,1772,0.8519870235198702,0.8557722261860498,0.5132605304212169,0.8612565445026178,0.6432062561094819,0.2599351175993512,641,5956.0,2.4152473641524734
with_page_values,0.38,328,303,54,1781,0.8552311435523114,0.8566226346836028,0.5198098256735341,0.8586387434554974,0.6475814412635735,0.25587996755879966,631,5954.0,2.4144363341443635
with_page_values,0.39,325,292,57,1792,0.8584752635847527,0.8553350885831716,0.526742301458671,0.8507853403141361,0.6506506506506506,0.2502027575020276,617,5916.0,2.3990267639902676
with_page_values,0.4,320,283,62,1801,0.8600973236009732,0.8509498949864839,0.5306799336650083,0.837696335078534,0.6497461928934011,0.24452554744525548,603,5834.0,2.365774533657745
with_page_values,0.41,315,279,67,1805,0.8596918085969181,0.8453650852669554,0.5303030303030303,0.824607329842932,0.6454918032786885,0.24087591240875914,594,5742.0,2.3284671532846715
with_page_values,0.42,309,272,73,1812,0.8600973236009732,0.8391911446975712,0.53184165232358,0.8089005235602095,0.6417445482866044,0.23560421735604217,581,5636.0,2.2854825628548254
with_page_values,0.43,304,266,78,1818,0.8605028386050284,0.8340861814271789,0.5333333333333333,0.7958115183246073,0.638655462184874,0.23114355231143552,570,5548.0,2.2497972424979724
with_page_values,0.44,303,261,79,1823,0.862124898621249,0.8339768970264594,0.5372340425531915,0.7931937172774869,0.6405919661733614,0.22871046228710462,564,5538.0,2.2457420924574207
with_page_values,0.45,301,250,81,1834,0.8657745336577454,0.8339982514495885,0.5462794918330308,0.7879581151832461,0.645230439442658,0.22343876723438766,551,5520.0,2.238442822384428
with_page_values,0.46,296,244,86,1840,0.8661800486618005,0.8288932881791963,0.5481481481481482,0.774869109947644,0.6420824295010846,0.21897810218978103,540,5432.0,2.202757502027575
with_page_values,0.47,292,235,90,1849,0.8682076236820763,0.8258169951060688,0.5540796963946869,0.7643979057591623,0.6424642464246425,0.21370640713706407,527,5370.0,2.1776155717761556
with_page_values,0.48,291,228,91,1856,0.8706407137064072,0.8261875571544854,0.5606936416184971,0.7617801047120419,0.6459489456159822,0.21046228710462286,519,5364.0,2.1751824817518246
with_page_values,0.49,289,222,93,1862,0.8722627737226277,0.8250092954547739,0.5655577299412916,0.756544502617801,0.6472564389697648,0.20721816707218166,511,5336.0,2.163828061638281
with_page_values,0.5,288,214,94,1870,0.8751013787510138,0.8256197807277588,0.5737051792828686,0.7539267015706806,0.6515837104072398,0.2035685320356853,502,5332.0,2.16220600162206
with_page_values,0.51,287,205,95,1879,0.878345498783455,0.8264701892253118,0.5833333333333334,0.7513089005235603,0.65675057208238,0.19951338199513383,492,5330.0,2.16139497161395
with_page_values,0.52,284,199,98,1885,0.8795620437956204,0.82398302700204,0.587991718426501,0.743455497382199,0.6566473988439306,0.19586374695863748,483,5282.0,2.1419302514193026
with_page_values,0.53,283,191,99,1893,0.8824006488240065,0.8245935122750249,0.5970464135021097,0.7408376963350786,0.6612149532710281,0.1922141119221411,474,5278.0,2.140308191403082
with_page_values,0.54,281,183,101,1901,0.8848337388483374,0.8238950970244495,0.6056034482758621,0.7356020942408377,0.6643026004728133,0.18815896188158962,464,5254.0,2.1305758313057583
with_page_values,0.55,278,172,104,1912,0.8880778588807786,0.8226075509240185,0.6177777777777778,0.7277486910994765,0.6682692307692307,0.18248175182481752,450,5216.0,2.1151662611516624
with_page_values,0.56,276,166,106,1918,0.8896999188969992,0.8214292892243069,0.6244343891402715,0.7225130890052356,0.6699029126213591,0.1792376317923763,442,5188.0,2.1038118410381186
with_page_values,0.57,272,156,110,1928,0.8921330089213301,0.8185929193757474,0.6355140186915887,0.7120418848167539,0.6716049382716048,0.1735604217356042,428,5128.0,2.0794809407948094
with_page_values,0.58,267,150,115,1934,0.8925385239253852,0.8134879561053552,0.6402877697841727,0.6989528795811518,0.6683354192740927,0.16909975669099755,417,5040.0,2.0437956204379564
with_page_values,0.59,265,147,117,1937,0.8929440389294404,0.8115899247319391,0.6432038834951457,0.693717277486911,0.6675062972292192,0.16707218167072183,412,5006.0,2.030008110300081
with_page_values,0.6,259,135,123,1949,0.8953771289537713,0.8066156002853956,0.6573604060913706,0.6780104712041884,0.6675257731958762,0.1597729115977291,394,4910.0,1.9910786699107867
